stream,year,date,doy,rm_upper,rm_lower,rm_length,redds,survey_type,flow,method
Hatchery Creek (Duck trib),2016,2016-05-25,146,0.1,0,0.1,0,INDX,Medium-low,FOOT
Hatchery Creek (Duck trib),2016,2016-05-31,152,0.1,0,0.1,0,INDX,Low,FOOT
Hatchery Creek (Duck trib),2016,2016-06-15,167,0.1,0,0.1,0,INDX,Low,FOOT
Hatchery Creek (Duck trib),2016,2016-06-27,179,0.1,0,0.1,0,INDX,Low,FOOT
Hatchery Creek (Duck trib),2016,2016-02-29,60,0.1,0,0.1,0,INDX,Medium,FOOT
Duckabush River,2016,2016-03-28,88,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2016,2016-03-28,88,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2016,2016-04-07,98,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2016,2016-04-07,98,2.7,2.3,0.4,0,INDX,Medium,FOOT
Duckabush River,2016,2016-04-15,106,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2016,2016-04-27,118,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2016,2016-05-11,132,2.7,2.3,0.4,0,INDX,Medium,FOOT
Duckabush River,2016,2016-05-27,148,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2016,2016-06-03,155,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2016,2016-06-03,155,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2016,2016-06-10,162,4.4,2.7,1.7,0,INDX,Medium,FOOT
Duckabush River,2016,2016-06-10,162,6,4.8,1.2,0,INDX,Medium,FOOT
Duckabush River,2016,2016-06-10,162,2.7,2.3,0.4,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-04-05,96,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-04-07,98,15.4,13.3,2.1,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-04-22,113,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-04-26,117,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-05-09,130,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-05-09,130,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-05-09,130,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-05-12,133,15.4,13.3,2.1,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-05-16,137,12.7,12.3,0.4,0,INDX,Low,FOOT
"Skokomish River, NF",2016,2016-05-16,137,12.3,10.8,1.5,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-05-16,137,10.8,9,1.8,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-05-20,141,13.3,12.7,0.6,0,INDX,Low,FOOT
"Skokomish River, NF",2016,2016-05-23,144,15.4,13.3,2.1,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-05-24,145,12.7,12.3,0.4,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-05-24,145,12.3,10.8,1.5,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-05-24,145,10.8,9,1.8,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-05-31,152,15.4,13.3,2.1,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-05-31,152,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-06-02,154,12.7,12.3,0.4,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-06-02,154,12.3,10.8,1.5,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-06-02,154,10.8,9,1.8,0,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-06-08,160,15.4,13.3,2.1,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-06-08,160,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-06-13,165,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-06-13,165,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-06-13,165,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-06-21,173,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-06-21,173,12.3,10.8,1.5,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-06-21,173,10.8,9,1.8,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-06-22,174,15.4,13.3,2.1,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-06-22,174,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-06-30,182,15.4,13.3,2.1,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-06-30,182,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-03-21,81,13.3,12.7,0.6,0,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-03-22,82,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-03-28,88,12.7,12.3,0.4,0,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-03-28,88,10.8,9,1.8,0,INDX,Low,RAFT
Big Beef Creek,2016,2016-02-03,34,7.8,6.8,1,0,INDX,Medium-high,FOOT
Big Beef Creek,2016,2016-02-10,41,7.8,6.8,1,0,INDX,Medium,FOOT
Big Beef Creek,2016,2016-03-08,68,7.8,6.8,1,0,INDX,High,FOOT
"Skokomish River, NF",2016,2015-10-27,300,12.3,9,3.3,0,INDX,Medium,RAFT
Little Quilcene River,2016,2016-02-19,50,5.4,4.3,1.1,0,SPOT,High,FOOT
Duckabush River,2016,2016-02-19,50,1.1,0,1.1,0,SPOT,High,RAFT
Little Quilcene River,2016,2016-02-23,54,0.8,0,0.8,0,SPOT,High,FOOT
Duckabush River,2016,2016-03-01,61,2.7,2.3,0.4,0,SPOT,High,FOOT
Duckabush River,2016,2016-03-11,71,2.3,1.1,1.2,0,SPOT,High,FOOT
Duckabush River,2016,2016-03-08,68,2.3,1.1,1.2,0,SPOT,High,FOOT
Little Quilcene River,2016,2016-03-08,68,0.8,0,0.8,0,SPOT,High,FOOT
Little Quilcene River,2016,2016-03-11,71,0.8,0,0.8,0,SPOT,High,FOOT
Duckabush River,2016,2016-03-17,77,2.8,2.7,0.1,0,SPOT,Medium-high,FOOT
Duckabush River,2016,2016-05-20,141,2.8,2.7,0.1,0,INDX,Medium,FOOT
Dewatto River,2016,2016-03-08,68,3,0,3,0,INDX,High,SNOR
"Skokomish River, MS",2016,2016-08-18,231,5.8,3.6,2.2,0,INDX,Low,RAFT
Duckabush River,2016,2016-08-17,230,1.1,0,1.1,0,INDX,Low,RAFT
"Skokomish River, MS",2016,2016-09-29,273,5.8,3.6,2.2,0,INDX,Low,RAFT
"Skokomish River, MS",2016,2016-05-19,140,8,6.3,1.7,1,INDX,Medium-low,RAFT
"Skokomish River, MS",2016,2016-05-26,147,6.3,5.8,0.5,1,INDX,Medium-low,RAFT
Big Beef Creek,2016,2016-02-02,33,5.3,0,5.3,1,INDX,Medium-low,SNOR
Big Beef Creek,2016,2016-02-04,35,5.8,2.8,3,1,INDX,Medium-high,FOOT
Big Beef Creek,2016,2016-02-11,42,5.8,2.8,3,1,INDX,Medium,FOOT
Dewatto River,2016,2016-02-10,41,3,1.8,1.2,1,INDX,Medium,FOOT
Dewatto River,2016,2016-03-24,84,1.8,0.3,1.5,1,INDX,Medium-high,FOOT
Dewatto River,2016,2016-03-24,84,3,1.8,1.2,1,INDX,Medium-high,FOOT
Dewatto River,2016,2016-04-07,98,3,1.8,1.2,1,INDX,Low,FOOT
Dewatto River,2016,2016-04-25,116,1.8,0.3,1.5,1,INDX,Low,FOOT
Union River,2016,2016-04-01,92,1.7,0.3,1.4,1,INDX,Medium-high,FOOT
Union River,2016,2016-04-07,98,1.7,0.3,1.4,1,INDX,Medium,FOOT
Union River,2016,2016-04-07,98,3,1.7,1.3,1,INDX,Medium,FOOT
Union River,2016,2016-04-07,98,4,3,1,1,INDX,Medium,FOOT
Tahuya River,2016,2016-03-28,88,7.5,5,2.5,1,INDX,Medium,FOOT
Tahuya River,2016,2016-03-28,88,5,2.6,2.4,1,INDX,Medium,FOOT
Tahuya River,2016,2016-03-28,88,2.6,1,1.6,1,INDX,Medium,FOOT
Hatchery Creek (Duck trib),2016,2016-03-11,71,0.1,0,0.1,1,INDX,Medium-high,FOOT
Little Quilcene River,2016,2016-03-30,90,3,1.8,1.2,1,INDX,Medium-high,FOOT
Little Quilcene River,2016,2016-03-30,90,1.8,0.8,1,1,INDX,Medium-high,FOOT
Little Quilcene River,2016,2016-04-07,98,1.8,0.8,1,1,INDX,Medium,FOOT
Little Quilcene River,2016,2016-04-28,119,5.4,4.3,1.1,1,INDX,Medium-high,FOOT
"Skokomish River, SF",2016,2016-04-29,120,0.8,0,0.8,1,INDX,Medium,RAFT
"Skokomish River, SF",2016,2016-05-06,127,0.8,0,0.8,1,INDX,Medium-low,RAFT
"Skokomish River, SF",2016,2016-05-06,127,9,8,1,1,INDX,Medium-low,RAFT
"Skokomish River, SF",2016,2016-05-19,140,0.8,0,0.8,1,INDX,Medium-low,RAFT
"Skokomish River, SF",2016,2016-05-26,147,9,8,1,1,INDX,Medium-low,RAFT
"Skokomish River, SF",2016,2016-06-06,158,9,8,1,1,INDX,Medium-low,RAFT
"Skokomish River, MS",2016,2016-04-20,111,5.8,3.6,2.2,1,INDX,Medium-high,RAFT
"Skokomish River, MS",2016,2016-05-06,127,8,6.3,1.7,1,INDX,Medium,RAFT
"Skokomish River, MS",2016,2016-05-26,147,8,6.3,1.7,1,INDX,Medium-low,RAFT
Duckabush River,2016,2016-03-29,89,2.7,2.3,0.4,1,INDX,Medium,FOOT
Duckabush River,2016,2016-06-15,167,2.3,1.1,1.2,1,INDX,Low,RAFT
Hatchery Creek (Duck trib),2016,2016-03-17,77,0.1,0,0.1,1,INDX,Medium,FOOT
Hatchery Creek (Duck trib),2016,2016-03-29,89,0.1,0,0.1,1,INDX,Medium-low,FOOT
Hatchery Creek (Duck trib),2016,2016-04-06,97,0.1,0,0.1,1,INDX,Medium-low,FOOT
Hatchery Creek (Duck trib),2016,2016-03-28,88,0.1,0,0.1,1,INDX,Medium,FOOT
Duckabush River,2016,2016-04-13,104,2.3,1.1,1.2,1,INDX,Medium,FOOT
Duckabush River,2016,2016-03-17,77,2.7,2.3,0.4,1,INDX,Medium,FOOT
Tahuya River,2016,2016-03-18,78,10,7.5,2.5,1,INDX,Medium-high,SNOR
Tahuya River,2016,2016-03-23,83,5,2.6,2.4,1,INDX,Medium,SNOR
Tahuya River,2016,2016-04-04,95,5,2.6,2.4,1,INDX,Medium,SNOR
"Skokomish River, NF",2016,2016-04-14,105,12.7,12.3,0.4,1,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-05-04,125,15.4,13.3,2.1,1,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-05-04,125,13.3,12.7,0.6,1,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-03-09,69,12.7,12.3,0.4,1,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-03-09,69,10.8,9,1.8,1,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-03-16,76,15.4,13.3,2.1,1,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-03-22,82,12.3,10.8,1.5,1,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-03-23,83,15.4,13.3,2.1,1,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-03-30,90,13.5,10,3.5,1,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2016,2016-05-03,124,2.9,1.7,1.2,1,INDX,Medium,FOOT
LeBar Creek (SF Skok trib),2016,2016-05-19,140,1.5,0,1.5,1,INDX,Medium,FOOT
Browns Creek (SF Skok trib),2016,2016-05-19,140,19,0,19,1,INDX,Medium,FOOT
"Skokomish River, MS",2016,2016-04-29,120,5.8,3.6,2.2,2,INDX,Medium,RAFT
Dewatto River,2016,2016-02-10,41,3,0,3,2,INDX,Medium,SNOR
Tahuya River,2016,2016-04-04,95,2.6,1,1.6,2,INDX,Medium,SNOR
Big Beef Creek,2016,2016-02-18,49,2.8,0,2.8,2,INDX,Medium-high,FOOT
Dewatto River,2016,2016-02-25,56,1.8,0.3,1.5,2,INDX,Medium,FOOT
Tahuya River,2016,2016-04-04,95,11,10,1,2,INDX,Medium-high,FOOT
Little Quilcene River,2016,2016-02-26,57,1.8,0.8,1,2,INDX,Medium-high,FOOT
Hatchery Creek (Duck trib),2016,2016-03-01,61,0.1,0,0.1,2,INDX,Medium-high,FOOT
Little Quilcene River,2016,2016-04-28,119,4.3,3,1.3,2,INDX,Medium-high,FOOT
"Skokomish River, SF",2016,2016-06-06,158,0.8,0,0.8,2,INDX,Medium-low,RAFT
"Skokomish River, MS",2016,2016-05-13,134,6.3,5.8,0.5,2,INDX,Medium-low,RAFT
"Skokomish River, MS",2016,2016-06-06,158,8,6.3,1.7,2,INDX,Medium-low,RAFT
Duckabush River,2016,2016-03-17,77,2.3,1.1,1.2,2,INDX,Medium-high,RAFT
Duckabush River,2016,2016-03-29,89,2.3,1.1,1.2,2,INDX,Medium,RAFT
Duckabush River,2016,2016-04-13,104,2.3,1.1,1.2,2,INDX,Medium-high,RAFT
Duckabush River,2016,2016-05-25,146,2.3,1.1,1.2,2,INDX,Medium,RAFT
Hatchery Creek (Duck trib),2016,2016-03-07,67,0.1,0,0.1,2,INDX,Medium,FOOT
Duckabush River,2016,2016-03-28,88,2.3,1.1,1.2,2,INDX,Medium,FOOT
Duckabush River,2016,2016-04-07,98,4.4,2.7,1.7,2,INDX,Medium,FOOT
Hatchery Creek (Duck trib),2016,2016-04-07,98,0.1,0,0.1,2,INDX,Medium,FOOT
Duckabush River,2016,2016-05-11,132,4.4,2.7,1.7,2,INDX,Medium,FOOT
Duckabush River,2016,2016-05-20,141,2.7,2.3,0.4,2,INDX,Medium,FOOT
Duckabush River,2016,2016-05-24,145,2.7,2.3,0.4,2,INDX,Medium,FOOT
Duckabush River,2016,2016-05-24,145,2.3,1.1,1.2,2,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-04-14,105,10.8,9,1.8,2,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-04-15,106,13.3,12.7,0.6,2,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-04-22,113,12.7,12.3,0.4,2,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-04-26,117,15.4,13.3,2.1,2,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-05-12,133,13.3,12.7,0.6,2,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-03-09,69,12.3,10.8,1.5,2,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-04-04,95,13.3,12.7,0.6,2,INDX,Low,FOOT
Vance Creek (SF Skok trib),2016,2016-04-01,92,1.7,0,1.7,2,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2016,2016-05-03,124,1.7,0,1.7,2,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-25,146,7.8,6.8,1,2,INDX,Medium,FOOT
Big Beef Creek,2016,2016-02-18,49,5.8,2.8,3,3,INDX,Medium-high,FOOT
Dewatto River,2016,2016-02-18,49,1.8,0.3,1.5,3,INDX,Medium-high,FOOT
Dewatto River,2016,2016-02-25,56,3,1.8,1.2,3,INDX,Medium,FOOT
Hatchery Creek (Duck trib),2016,2016-02-23,54,0.1,0,0.1,3,INDX,Medium-high,FOOT
Little Quilcene River,2016,2016-03-30,90,4.3,3,1.3,3,INDX,Medium-high,FOOT
"Skokomish River, SF",2016,2016-04-12,103,0.8,0,0.8,3,INDX,Medium,RAFT
"Skokomish River, MS",2016,2016-05-06,127,6.3,5.8,0.5,3,INDX,Medium,RAFT
"Skokomish River, MS",2016,2016-06-13,165,8,6.3,1.7,3,INDX,Medium-low,RAFT
Duckabush River,2016,2016-05-10,131,2.3,1.1,1.2,3,INDX,Medium,RAFT
Duckabush River,2016,2016-04-01,92,2.7,2.3,0.4,3,INDX,Medium,FOOT
Duckabush River,2016,2016-04-15,106,4.4,2.7,1.7,3,INDX,Medium,FOOT
Duckabush River,2016,2016-05-10,131,2.7,2.3,0.4,3,INDX,Medium,FOOT
Dewatto River,2016,2016-02-26,57,3,0,3,3,INDX,Medium,SNOR
Tahuya River,2016,2016-03-23,83,7.5,5,2.5,3,INDX,Medium,SNOR
Tahuya River,2016,2016-04-04,95,7.5,5,2.5,3,INDX,Medium,SNOR
"Skokomish River, NF",2016,2016-04-05,96,12.7,12.3,0.4,3,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-04-21,112,13.3,12.7,0.6,3,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-03-09,69,13.3,12.7,0.6,3,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-03-22,82,10.8,9,1.8,3,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-03-28,88,12.3,10.8,1.5,3,INDX,Low,RAFT
"Skokomish River, NF",2016,2016-04-01,92,15.4,13.3,2.1,3,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2016,2016-03-25,85,1.7,0,1.7,3,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2016,2016-04-05,96,2.9,1.7,1.2,3,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-06-03,155,13.5,10,3.5,3,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-06-23,175,23.5,19,4.5,3,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-08,129,5,2.2,2.8,3,INDX,Medium,FOOT
Duckabush River,2016,2016-04-27,118,2.7,2.3,0.4,4,INDX,Medium,FOOT
Dewatto River,2016,2016-04-07,98,1.8,0.3,1.5,4,INDX,Low,FOOT
Union River,2016,2016-04-15,106,1.7,0.3,1.4,4,INDX,Medium,FOOT
Little Quilcene River,2016,2016-04-07,98,3,1.8,1.2,4,INDX,Medium,FOOT
"Skokomish River, MS",2016,2016-04-12,103,6.3,5.8,0.5,4,INDX,Medium-high,RAFT
"Skokomish River, MS",2016,2016-05-13,134,8,6.3,1.7,4,INDX,Medium-low,RAFT
Duckabush River,2016,2016-04-27,118,2.3,1.1,1.2,4,INDX,Medium,RAFT
Tahuya River,2016,2016-02-24,55,7.5,5,2.5,4,INDX,Medium,SNOR
"Skokomish River, NF",2016,2016-04-22,113,12.3,10.8,1.5,4,INDX,Medium,RAFT
"Skokomish River, NF",2016,2016-03-08,68,15.4,13.3,2.1,4,INDX,Medium,FOOT
Browns Creek (SF Skok trib),2016,2016-05-11,132,5,0,5,4,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-25,146,5,2.2,2.8,4,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-13,134,0.8,0,0.8,5,INDX,Medium-low,RAFT
"Skokomish River, SF",2016,2016-04-12,103,9,8,1,5,INDX,Medium,RAFT
Dewatto River,2016,2016-02-18,49,3,1.8,1.2,5,INDX,Medium-high,FOOT
Tahuya River,2016,2016-04-15,106,7.5,5,2.5,5,INDX,Low,FOOT
"Skokomish River, SF",2016,2016-04-20,111,9,8,1,5,INDX,Medium,RAFT
"Skokomish River, SF",2016,2016-04-29,120,9,8,1,5,INDX,Medium,RAFT
"Skokomish River, MS",2016,2016-04-29,120,8,6.3,1.7,5,INDX,Medium,RAFT
Duckabush River,2016,2016-05-27,148,4.4,2.7,1.7,5,INDX,Medium,FOOT
Tahuya River,2016,2016-02-24,55,5,2.6,2.4,5,INDX,Medium,SNOR
"Skokomish River, NF",2016,2016-03-29,89,13.3,12.7,0.6,5,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-01,92,5,2.2,2.8,5,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2016,2016-04-18,109,2.9,1.7,1.2,5,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-06-22,174,19,13.5,5.5,5,INDX,Medium,FOOT
Tahuya River,2016,2016-04-04,95,10,7.5,2.5,6,INDX,Medium-high,FOOT
"Skokomish River, NF",2016,2016-04-14,105,12.3,10.8,1.5,6,INDX,Medium,RAFT
"Skokomish River, MS",2016,2016-04-12,103,8,6.3,1.7,7,INDX,Medium-high,RAFT
Duckabush River,2016,2016-03-28,88,2.7,2.3,0.4,8,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-14,105,23.5,19,4.5,8,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-25,116,7.8,6.8,1,8,INDX,Medium,FOOT
Duckabush River,2016,2016-04-27,118,4.4,2.7,1.7,9,INDX,Medium,FOOT
"Skokomish River, MS",2016,2016-04-20,111,8,6.3,1.7,10,INDX,Medium-high,RAFT
"Skokomish River, SF",2016,2016-04-12,103,19,13.5,5.5,10,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-12,103,7.8,6.8,1,10,INDX,Medium,FOOT
Vance Creek (SF Skok trib),2016,2016-04-18,109,3.6,2.9,0.7,10,INDX,Medium,FOOT
Duckabush River,2016,2016-02-29,60,2.7,2.3,0.4,11,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-27,118,13.5,10,3.5,11,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-04-05,96,12.3,10.8,1.5,12,INDX,Medium,RAFT
"Skokomish River, SF",2016,2016-06-10,162,19,13.5,5.5,13,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-24,145,19,13.5,5.5,14,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-10,131,7.8,6.8,1,15,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-11,102,13.5,10,3.5,15,INDX,Medium,FOOT
"Skokomish River, NF",2016,2016-04-15,106,15.4,13.3,2.1,16,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-13,134,5,2.2,2.8,17,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-02,123,13.5,10,3.5,18,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-10,131,13.5,10,3.5,19,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-25,146,13.5,10,3.5,19,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-12,103,5,2.2,2.8,20,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-05,126,5,2.2,2.8,22,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-18,139,19,13.5,5.5,22,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-05,126,23.5,19,4.5,23,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-18,139,13.5,10,3.5,23,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-06-02,154,23.5,19,4.5,24,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-29,120,5,2.2,2.8,25,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-11,132,19,13.5,5.5,25,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-05,126,19,13.5,5.5,27,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-24,145,23.5,19,4.5,28,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-27,118,23.5,19,4.5,30,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-26,117,19,13.5,5.5,31,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-06-03,155,19,13.5,5.5,32,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-04-21,112,13.5,10,3.5,33,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-13,134,23.5,19,4.5,38,INDX,Medium,FOOT
"Skokomish River, SF",2016,2016-05-11,132,5,2.2,2.8,39,INDX,Medium,FOOT
Big Beef Creek,2017,2017-02-14,45,2.8,0,2.8,0,INDX,Medium,FOOT
Big Beef Creek,2017,2017-02-23,54,2.8,0,2.8,0,INDX,Medium,FOOT
Big Beef Creek,2017,2017-03-08,67,2.8,0,2.8,0,INDX,Medium,FOOT
Big Beef Creek,2017,2017-03-20,79,2.8,0,2.8,0,INDX,Medium-high,FOOT
Big Beef Creek,2017,2017-03-31,90,2.8,0,2.8,0,INDX,Medium,FOOT
Big Beef Creek,2017,2017-01-31,31,5.8,2.8,3,0,INDX,Medium,FOOT
Big Beef Creek,2017,2017-02-14,45,5.8,2.8,3,0,INDX,Medium,FOOT
Big Beef Creek,2017,2017-02-28,59,5.8,2.8,3,0,INDX,Medium,FOOT
Big Beef Creek,2017,2017-03-20,79,5.8,2.8,3,0,INDX,Medium-high,FOOT
Big Beef Creek,2017,2017-03-31,90,5.8,2.8,3,0,INDX,Medium,FOOT
Dewatto River,2017,2017-03-01,60,3,1.8,1.2,0,INDX,Medium-high,FOOT
Dewatto River,2017,2017-03-08,67,3,1.8,1.2,0,INDX,Medium-high,FOOT
Dewatto River,2017,2017-03-21,80,1.8,0,1.8,0,INDX,Medium-high,FOOT
Dewatto River,2017,2017-04-03,93,1.8,0.3,1.5,0,INDX,Medium,FOOT
Dewatto River,2017,2017-04-11,101,1.8,0.3,1.5,0,INDX,Medium-high,FOOT
Dewatto River,2017,2017-04-20,110,3,1.8,1.2,0,INDX,Medium,FOOT
Dewatto River,2017,2017-04-20,110,1.8,0.3,1.5,0,INDX,Medium,FOOT
Dewatto River,2017,2017-04-26,116,3,1.8,1.2,0,INDX,Medium,FOOT
Dewatto River,2017,2017-04-26,116,1.8,0.3,1.5,0,INDX,Medium,FOOT
Dewatto River,2017,2017-05-04,124,3,1.8,1.2,0,INDX,Low,FOOT
Dewatto River,2017,2017-05-04,124,1.8,0.3,1.5,0,INDX,Low,FOOT
Tahuya River,2017,2017-03-02,61,11,10,1,0,INDX,Medium-high,FOOT
Tahuya River,2017,2017-03-02,61,10,7.5,2.5,0,INDX,Medium-high,FOOT
Tahuya River,2017,2017-03-21,80,11,10,1,0,INDX,High,RAFT
Tahuya River,2017,2017-03-21,80,10,7.5,2.5,0,INDX,High,RAFT
Tahuya River,2017,2017-03-27,86,11,10,1,0,INDX,Medium-high,FOOT
Tahuya River,2017,2017-03-27,86,10,7.5,2.5,0,INDX,High,FOOT
Tahuya River,2017,2017-04-06,96,11,10,1,0,INDX,Medium-high,RAFT
Tahuya River,2017,2017-04-06,96,10,7.5,2.5,0,INDX,Medium-high,RAFT
Tahuya River,2017,2017-04-17,107,5,2.6,2.4,0,INDX,Medium-high,FOOT
Tahuya River,2017,2017-04-25,115,11,10,1,0,INDX,Medium,FOOT
Tahuya River,2017,2017-04-25,115,10,7.5,2.5,0,INDX,Medium,FOOT
Tahuya River,2017,2017-04-26,116,1,0.6,0.4,0,INDX,Medium,FOOT
Tahuya River,2017,2017-04-26,116,2.6,1,1.6,0,INDX,Medium,RAFT
Tahuya River,2017,2017-05-03,123,2.6,1,1.6,0,INDX,Medium-low,FOOT
Tahuya River,2017,2017-05-11,131,5,2.6,2.4,0,INDX,Low,FOOT
Tahuya River,2017,2017-05-11,131,2.6,1,1.6,0,INDX,Low,FOOT
Union River,2017,2017-03-23,82,4,3,1,0,INDX,Medium-high,FOOT
Union River,2017,2017-04-07,97,1.7,0.3,1.4,0,INDX,Medium,FOOT
Union River,2017,2017-04-07,97,3,1.7,1.3,0,INDX,Medium,FOOT
Union River,2017,2017-04-07,97,4,3,1,0,INDX,Medium,FOOT
Union River,2017,2017-04-20,110,1.7,0.3,1.4,0,INDX,Medium,FOOT
Union River,2017,2017-04-20,110,3,1.7,1.3,0,INDX,Medium,FOOT
Union River,2017,2017-04-20,110,4,3,1,0,INDX,Medium,FOOT
